;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
685;18635260000107;5219704;GO;Santa Terezinha de Goi�s;001;3621;00000000000000136549
686;20898378000161;5219712;GO;Santo Ant�nio da Barra;001;0221;00000000000006128068
687;22786680000153;5219738;GO;Santo Ant�nio de Goi�s;104;2256;00000000000000001160
688;21046291000129;5219803;GO;S�o Domingos;001;0979;00000000000000152579
689;21185300000162;5219902;GO;S�o Francisco de Goi�s;104;1140;00000000000000001833
690;18899181000103;5220009;GO;S�o Jo�o d'Alian�a;001;0377;00000000000000449407
691;10586919000162;5220108;GO;S�o Lu�s de Montes Belos;104;1943;00000000000000000654
692;19616719000180;5220207;GO;S�o Miguel do Araguaia;104;0794;00000000000000711540
693;28845189000132;5220264;GO;S�o Miguel do Passa Quatro;001;3622;00000000000000166197
694;13500540000186;5220454;GO;Senador Canedo;001;4679;00000000000000131814
695;19814507000107;5220603;GO;Silv�nia;001;0988;0000000000000018165X
696;13842770000123;5221007;GO;Taquaral de Goi�s;001;0496;00000000000000199192
697;21093063000100;5221080;GO;Teresina de Goi�s;001;3713;0000000000000014102X
698;18787501000125;5221197;GO;Terez�polis de Goi�s;104;1269;0000000000000035774X
699;19836209000118;5221304;GO;Tr�s Ranchos;001;4013;00000000000000083097
700;20235533000160;5221403;GO;Trindade;104;2511;00000000000000711635
701;20400620000125;5221452;GO;Trombas;104;0946;00000000000000711147
702;31147883000190;5221502;GO;Turv�nia;104;4418;00000000000000710396
703;14524438000183;5221551;GO;Turvel�ndia;001;0690;00000000000000265454
704;19251191000192;5221577;GO;Uirapuru;001;2019;00000000000000125008
705;22375847000193;5221601;GO;Urua�u;104;0952;00000000000000003951
706;11042724000114;5221700;GO;Uruana;104;1237;00000000000000711021
707;05795317000185;5221858;GO;Valpara�so de Goi�s;001;3411;00000000000000136654
708;41483201000174;5222005;GO;Vian�polis;001;3622;00000000000000178276
709;28811684000120;5222054;GO;Vicentin�polis;104;0953;00000000000000710548
710;25361482000136;5222203;GO;Vila Boa;104;0791;00000000000000003175
711;63533079000136;2100055;MA;A�ail�ndia;001;1311;00000000000000011231
712;31862953000192;2100477;MA;Alto Alegre do Pindar�;001;2581;00000000000000451282
713;26163258000100;2100600;MA;Amarante do Maranh�o;001;5729;00000000000000179086
714;43294731000108;2100808;MA;Anapurus;001;1773;00000000000000622702
715;44036708000178;2100956;MA;Arame;001;0568;00000000000000387908
716;21583914000100;2101004;MA;Arari;001;5677;0000000000000009000X
717;34322555000171;2101202;MA;Bacabal;001;0528;0000000000000073134X
718;26000705000100;2101251;MA;Bacabeira;001;2555;0000000000000055944X
719;18245401000177;2101400;MA;Balsas;001;0895;00000000000000506745
720;27128400000133;2101608;MA;Barra do Corda;104;0765;00000000000000710368
721;29655916000161;2102002;MA;Bom Jardim;001;1651;00000000000000262250
722;43309150000194;2102036;MA;Bom Jesus das Selvas;001;3642;00000000000000427926
723;20771670000119;2102325;MA;Buriticupu;001;3642;00000000000000301086
724;22325536000110;2102358;MA;Buritirana;001;2787;00000000000000303178
725;19240877000188;2103000;MA;Caxias;001;0124;00000000000000524514
726;23343591000103;2103208;MA;Chapadinha;001;1773;00000000000000571873
727;28811095000142;2103505;MA;Colinas;001;1312;00000000000000359068
728;01933502000138;2100000;MA;Estado do Maranh�o;001;3846;0000000000000021602X
729;18355265000178;2104107;MA;Fortaleza dos Nogueiras;001;5734;00000000000000088935
730;40734209000101;2104552;MA;Governador Edison Lob�o;001;3280;00000000000000627089
731;39502027000118;2104677;MA;Governador Nunes Freire;001;5730;0000000000000026458X
732;28954937000115;2105005;MA;Humberto de Campos;001;4124;00000000000000154245
733;32418010000138;2105203;MA;Igarap� Grande;001;2124;00000000000000172839
734;20825739000140;2105302;MA;Imperatriz;001;0554;00000000000003000001
735;44050928000156;2105401;MA;Itapecuru Mirim;001;5622;00000000000000509434
736;22446711000127;2105427;MA;Itinga do Maranh�o;001;5676;0000000000000012088X
737;28423980000154;2105476;MA;Jenipapo dos Vieiras;001;0782;00000000000000319139
738;44269966000102;2105963;MA;Lagoa Grande do Maranh�o;001;1087;00000000000005150000
739;32743771000165;2106359;MA;Maraj� do Sena;001;2419;00000000000000195235
740;30422578000105;2106508;MA;Matinha;001;2771;00000000000000434418
741;32827167000117;2106607;MA;Mat�es;001;3912;00000000000000177938
742;44333777000143;2106631;MA;Mat�es do Norte;001;2615;00000000000000017345
743;23257836000171;2107357;MA;Nova Olinda do Maranh�o;001;2314;0000000000000057693X
744;26162017000139;2107407;MA;Olho d'�gua das Cunh�s;001;1316;00000000000000158186
745;28831609000121;2107902;MA;Passagem Franca;001;2412;00000000000000198714
746;21007159000108;2108009;MA;Pastos Bons;001;8198;00000000000000007269
747;36697603000131;2108207;MA;Pedreiras;001;0242;00000000000000400866
748;27173726000182;2108702;MA;Pio XII;001;2452;00000000000000301264
749;22617504000198;2109106;MA;Presidente Dutra;001;1119;00000000000000283029
750;35799230000147;2109239;MA;Presidente M�dici;001;5730;00000000000000274801
751;43936305000112;2109809;MA;Santa Helena;001;1807;00000000000000423106
752;21824676000170;2109908;MA;Santa In�s;001;0613;00000000000000637629
753;37012641000176;2110005;MA;Santa Luzia;001;2581;00000000000000469572
754;44689752000187;2110039;MA;Santa Luzia do Paru�;104;4479;00000000000000032982
755;23500407000183;2110500;MA;S�o Bento;001;2607;00000000000000348546
756;32099177000183;2110658;MA;S�o Domingos do Azeit�o;070;0596;00000000000000290149
757;17929065000119;2110708;MA;S�o Domingos do Maranh�o;001;2614;00000000000000249084
758;42343981000110;2110856;MA;S�o Francisco do Brej�o;001;3280;00000000000000596493
759;38660327000162;2110906;MA;S�o Francisco do Maranh�o;001;2618;00000000000000114677
760;35453970000127;2111052;MA;S�o Jo�o do Para�so;001;3625;00000000000000374547
761;25002142000119;2111102;MA;S�o Jo�o dos Patos;001;0603;00000000000000265314
762;21551009000160;2111300;MA;S�o Lu�s;001;3846;00000000000000081922
763;23744304000169;2111409;MA;S�o Lu�s Gonzaga do Maranh�o;001;2647;00000000000000149357
764;21484341000150;2111508;MA;S�o Mateus do Maranh�o;001;2651;00000000000000365831
765;30192593000104;2111532;MA;S�o Pedro da �gua Branca;001;0554;00000000000000952834
766;44813470000140;2111789;MA;Serrano do Maranh�o;001;1053;00000000000000334685
767;18113893000147;2112209;MA;Timon;104;2442;00000000000000002117
768;45417803000184;2112233;MA;Trizidela do Vale;001;5733;00000000000000101214
769;24778026000123;2112274;MA;Tufil�ndia;001;2449;00000000000000225487
770;44181490000145;2112308;MA;Tuntum;001;2743;00000000000000298921
771;46311300000192;2112407;MA;Turia�u;001;1807;00000000000000435694
772;03888588000150;2114007;MA;Z� Doca;001;2314;00000000000000157503
773;20167266000130;3100401;MG;Acaiaca;104;0146;00000000000000007041
774;07923928000197;3100500;MG;A�ucena;104;4392;00000000000000001323
775;20853300000120;3100609;MG;�gua Boa;001;7137;0000000000000005397X
776;21240342000159;3100708;MG;�gua Comprida;104;1535;00000000000000000466
777;21112518000197;3100906;MG;�guas Formosas;001;0889;00000000000000231118
778;18443656000144;3101003;MG;�guas Vermelhas;001;0213;00000000000000206482
779;14965938000150;3101102;MG;Aimor�s;104;0704;00000000000000001950
780;21037468000120;3101300;MG;Alagoa;104;3350;00000000000000710688
781;22223743000163;3101508;MG;Al�m Para�ba;001;0356;00000000000000373559
782;08493279000102;3101607;MG;Alfenas;001;0168;0000000000000024516X
783;20714657000128;3101706;MG;Almenara;104;0606;00000000000000217987
784;19100178000132;3101904;MG;Alpin�polis;001;1418;00000000000000220779
785;31748710000128;3153509;MG;Alto Jequitib�;001;0412;00000000000000297011
786;36990212000100;3102209;MG;Alvarenga;001;1154;00000000000000284076
787;19222659000110;3102308;MG;Alvin�polis;001;1429;00000000000000163643
788;19074494000187;3102605;MG;Andradas;001;0781;00000000000000262021
789;18577021000130;3102803;MG;Andrel�ndia;001;1327;00000000000000010758
790;32196303000118;3102852;MG;Angel�ndia;001;0396;00000000000000307491
791;18780078000131;3102902;MG;Ant�nio Carlos;001;1450;00000000000000100412
792;19438028000133;3103009;MG;Ant�nio Dias;001;0365;00000000000000434078
793;20775658000182;3103405;MG;Ara�ua�;001;0152;00000000000000288187
794;18517822000100;3103504;MG;Araguari;104;0096;00000000000000000704
795;28839403000148;3103702;MG;Araponga;001;0428;00000000000000992119
796;18779409000113;3103751;MG;Arapor�;001;1043;00000000000000163007
797;23663970000172;3103801;MG;Arapu�;001;0502;00000000000000267554
798;34227794000142;3103900;MG;Ara�jos;001;3829;00000000000000140023
799;27421265000110;3104007;MG;Arax�;001;0210;00000000000000623717
800;24505199000178;3104106;MG;Arceburgo;001;4033;00000000000000135615
801;33488267000129;3104205;MG;Arcos;001;0894;00000000000000355348
802;27957340000161;3104304;MG;Areado;001;1468;0000000000000018859X
803;40294769000184;3104403;MG;Argirita;001;0471;0000000000000036231X
804;18211671000167;3104502;MG;Arinos;001;1470;00000000000000267171
805;19933646000150;3104601;MG;Astolfo Dutra;001;2827;00000000000000195936
806;23372991000139;3104700;MG;Atal�ia;001;5997;00000000000000046922
807;18779471000105;3104908;MG;Baependi;104;0098;00000000000000000314
808;23350353000117;3105103;MG;Bambu�;001;0522;00000000000000255963
809;29543003000153;3105202;MG;Bandeira;001;0284;00000000000000310697
810;19475179000161;3105400;MG;Bar�o de Cocais;001;4488;00000000000000152595
811;21288995000108;3105608;MG;Barbacena;001;0062;00000000000000789682
812;31327082000107;3105905;MG;Barroso;001;4424;00000000000000164771
813;18777817000136;3106002;MG;Bela Vista de Minas;001;2220;00000000000000405701
814;17239496000153;3106101;MG;Belmiro Braga;001;3210;00000000000000019424
815;13921409000192;3106200;MG;Belo Horizonte;104;0093;00000000000000711124
816;18188793000180;3106309;MG;Belo Oriente;104;4392;00000000000000000399
817;20726007000100;3106408;MG;Belo Vale;001;1793;00000000000000334413
818;29307516000165;3106655;MG;Berizal;001;2705;00000000000000293822
819;21101865000114;3106705;MG;Betim;001;0750;00000000000001021850
820;31743161000107;3106903;MG;Bicas;001;1740;00000000000000116061
821;44606151000163;3107000;MG;Biquinhas;001;0688;00000000000000272310
822;19361859000154;3107109;MG;Boa Esperan�a;104;0100;00000000000000003088
823;28559925000196;3107208;MG;Bocaina de Minas;001;1653;00000000000000195006
824;21258423000186;3107307;MG;Bocai�va;001;0393;0000000000000038836X
825;00653649000101;3107406;MG;Bom Despacho;104;1060;00000000000000000190
826;35009434000137;3107604;MG;Bom Jesus da Penha;001;3805;00000000000000088722
827;29015314000140;3107703;MG;Bom Jesus do Amparo;001;0706;00000000000000740063
828;18917854000100;3107802;MG;Bom Jesus do Galho;104;0106;00000000000000007280
829;17731663000189;3107901;MG;Bom Repouso;001;8220;00000000000000004472
830;33767164000106;3108107;MG;Bonfim;001;4581;0000000000000012172X
831;30847797000128;3108206;MG;Bonfin�polis de Minas;001;1329;00000000000000190268
832;18820173000111;3108305;MG;Borda da Mata;001;1657;00000000000000147877
833;37020097000104;3108552;MG;Brasil�ndia de Minas;001;4425;00000000000000158828
834;20953182000122;3108602;MG;Bras�lia de Minas;001;3209;0000000000000039310X
835;32097973000187;3108909;MG;Braz�polis;001;1663;00000000000000209732
836;19670513000138;3109006;MG;Brumadinho;001;1669;00000000000000211362
837;17731652000107;3109105;MG;Bueno Brand�o;001;1670;00000000000000250007
838;22042278000164;3109204;MG;Buen�polis;001;1671;00000000000000143804
839;18004592000185;3109303;MG;Buritis;001;1330;00000000000000237760
840;33620403000192;3109402;MG;Buritizeiro;001;1680;00000000000000185078
841;20228558000136;3109451;MG;Cabeceira Grande;001;0508;00000000000000458856
842;33576363000129;3109501;MG;Cabo Verde;001;1682;00000000000000146358
843;29102526000164;3109709;MG;Cachoeira de Minas;001;1687;00000000000000041619
844;31725986000190;3102704;MG;Cachoeira de Paje�;001;0213;0000000000000024144X
845;34584727000185;3110004;MG;Caet�;001;1694;00000000000000248592
846;15679603000139;3110103;MG;Caiana;104;3517;00000000000000710227
847;30819859000198;3110202;MG;Cajuri;001;0428;00000000000000880752
848;28811810000147;3110301;MG;Caldas;001;1704;00000000000000039020
849;07487852000102;3110509;MG;Camanducaia;104;1470;00000000000000004740
850;21214363000108;3110608;MG;Cambu�;001;1709;00000000000000271136
851;13029076000191;3110707;MG;Cambuquira;104;0101;00000000000000001358
852;21191840000159;3110905;MG;Campanha;001;1711;00000000000000136387
853;19678551000137;3111002;MG;Campestre;104;1721;00000000000000001513
854;21306425000101;3111101;MG;Campina Verde;104;1062;00000000000060002119
855;11756896000150;3111150;MG;Campo Azul;001;2747;00000000000000181374
856;17741923000105;3111200;MG;Campo Belo;104;0103;00000000000000004005
857;21191060000109;3111408;MG;Campo Florido;001;4614;00000000000000365009
858;47455970000145;3111507;MG;Campos Altos;001;3038;0000000000000018036X
859;31898080000178;3111804;MG;Can�polis;104;1121;00000000000000710210
860;31712620000187;3112000;MG;Candeias;001;1727;00000000000000161438
861;34330144000128;3112109;MG;Capara�;001;8225;00000000000000007684
862;07757840000142;3112307;MG;Capelinha;001;0396;00000000000000132047
863;31072112000181;3112604;MG;Capin�polis;104;3651;00000000000000710307
864;64477607000140;3112802;MG;Capit�lio;001;0968;00000000000000393290
865;31691944000186;3113008;MG;Cara�;001;1742;00000000000000194565
866;34278089000174;3113107;MG;Carana�ba;001;1743;00000000000000115290
867;31811390000103;3113305;MG;Carangola;001;0026;00000000000000451940
868;19076955000150;3113404;MG;Caratinga;104;0106;00000000000000007701
869;31621893000116;3113701;MG;Carlos Chagas;001;0202;00000000000000162337
870;41157838000170;3113909;MG;Carmo da Cachoeira;001;8215;00000000000000014419
871;35304295000174;3114006;MG;Carmo da Mata;001;1750;00000000000000182192
872;18079757000188;3114105;MG;Carmo de Minas;001;0983;00000000000000284238
873;19097927000110;3114204;MG;Carmo do Cajuru;001;1749;0000000000000018912X
874;17757783000155;3114303;MG;Carmo do Parana�ba;001;0502;00000000000000229385
875;30690758000160;3114402;MG;Carmo do Rio Claro;001;1751;00000000000000183512
876;45424366000126;3114501;MG;Carm�polis de Minas;001;1753;00000000000000212458
877;34455176000150;3114600;MG;Carrancas;001;3871;00000000000000103349
878;19923647000113;3115102;MG;C�ssia;104;0107;00000000000000002721
879;22880774000197;3115300;MG;Cataguases;104;0108;00000000000000710080
880;19188636000137;3115359;MG;Catas Altas;001;4025;00000000000000116084
881;42534981000105;3115474;MG;Catuti;001;1331;00000000000000235563
882;21554722000168;3115508;MG;Caxambu;001;1763;00000000000000211575
883;39979793000178;3115805;MG;Centralina;001;1043;00000000000000195464
884;19142390000162;3116159;MG;Chapada Ga�cha;001;7136;00000000000000058696
885;42224635000112;3116209;MG;Chiador;001;0315;00000000000000665126
886;19923787000191;3116407;MG;Claraval;001;0053;0000000000000080783X
887;17947803000150;3116605;MG;Cl�udio;104;0817;00000000000000001652
888;34713568000171;3116704;MG;Coimbra;001;4022;00000000000000129399
889;21376100000197;3116803;MG;Coluna;001;0397;00000000000000416355
890;18437009000120;3116902;MG;Comendador Gomes;001;0422;00000000000000292907
891;21132596000153;3117009;MG;Comercinho;001;1782;00000000000000104949
892;33729474000128;3117108;MG;Concei��o da Aparecida;001;1784;00000000000000140538
893;28988078000185;3117306;MG;Concei��o das Alagoas;104;3538;00000000000000710175
894;28899099000124;3117207;MG;Concei��o das Pedras;001;2424;00000000000000130567
895;18067395000105;3117504;MG;Concei��o do Mato Dentro;001;0591;00000000000000334529
896;42113844000199;3117603;MG;Concei��o do Par�;001;9679;00000000000000291390
897;34822765000129;3117702;MG;Concei��o do Rio Verde;001;1789;00000000000000133434
898;18259513000187;3117876;MG;Confins;001;2241;00000000000000470619
899;18834797000198;3118007;MG;Congonhas;001;1793;00000000000000316016
900;30759004000119;3118106;MG;Congonhas do Norte;001;0591;00000000000000327662
901;17857480000104;3118205;MG;Conquista;104;1686;00000000000000001603
902;19548699000157;3118304;MG;Conselheiro Lafaiete;001;0504;00000000000009862242
903;18045100000108;3118403;MG;Conselheiro Pena;104;0706;00000000000000004828
904;19105716000181;3118601;MG;Contagem;001;1633;00000000000000944521
905;31294411000160;3118908;MG;Cordisburgo;001;1798;00000000000000117838
906;34975213000150;3119005;MG;Cordisl�ndia;001;0980;00000000000000023803
907;23463085000140;3119104;MG;Corinto;001;0482;00000000000000188336
908;31034233000139;3119203;MG;Coroaci;001;2003;00000000000000144177
909;32579619000199;3119302;MG;Coromandel;001;0539;00000000000000228133
910;18783637000167;3119401;MG;Coronel Fabriciano;001;0365;00000000000000420859
911;14875183000101;3119500;MG;Coronel Murta;001;0152;00000000000000332402
912;42041242000173;3119609;MG;Coronel Pacheco;001;3896;00000000000000106593
913;32022719000110;3119708;MG;Coronel Xavier Chaves;001;0162;00000000000000990337
914;35410986000152;3119906;MG;C�rrego do Bom Jesus;001;1709;00000000000000302759
915;46564780000101;3119955;MG;C�rrego Fundo;001;0212;0000000000000046743X
916;27858335000100;3120003;MG;C�rrego Novo;001;1775;00000000000000413682
917;12271155000141;3120102;MG;Couto de Magalh�es de Minas;001;0344;00000000000000054195
918;34002482000130;3120201;MG;Cristais;001;2829;00000000000000160601
919;15154334000197;3120607;MG;Crucil�ndia;001;2154;00000000000000156604
920;18383342000101;3120706;MG;Cruzeiro da Fortaleza;001;1067;00000000000000143235
921;17967625000120;3120805;MG;Cruz�lia;001;2021;00000000000000147524
922;18951365000167;3120839;MG;Cuparaque;104;0706;00000000000000004178
923;28539361000120;3120870;MG;Curral de Dentro;001;0976;00000000000000194301
924;38525630000152;3120904;MG;Curvelo;001;0103;00000000000000542210
925;22042413000171;3121100;MG;Delfim Moreira;001;0308;00000000000000610720
926;43807826000170;3121506;MG;Desterro do Melo;001;0062;00000000000000996998
927;21275855000103;3121605;MG;Diamantina;001;0344;00000000000000412716
928;21189506000160;3121803;MG;Dion�sio;001;2615;00000000000001081632
929;21491356000145;3121902;MG;Divin�sia;104;0159;00000000000000003462
930;19264828000185;3122009;MG;Divino;001;2025;0000000000000019588X
931;37370165000165;3122108;MG;Divino das Laranjeiras;001;3811;00000000000000149411
932;26658523000113;3122207;MG;Divinol�ndia de Minas;001;2780;00000000000000316164
933;18819493000151;3122306;MG;Divin�polis;001;4341;00000000000000195898
934;25238740000191;3122355;MG;Divisa Alegre;001;0213;00000000000000228648
935;28062549000120;3122603;MG;Dom Joaquim;001;0591;00000000000000317071
936;13685226000115;3122702;MG;Dom Silv�rio;001;2032;00000000000000139629
937;31700949000128;3122801;MG;Dom Vi�oso;104;0152;00000000000000710241
938;27470268000143;3122900;MG;Dona Euz�bia;001;2827;00000000000000237957
939;18037666000180;3123106;MG;Dores de Guanh�es;001;0397;00000000000000418986
940;03314436000143;3123205;MG;Dores do Indai�;104;1063;00000000000000710402
941;20610157000146;3123304;MG;Dores do Turvo;001;3827;00000000000000132098
942;23552678000182;3123502;MG;Douradoquara;104;0709;00000000000000005766
943;18345110000150;3123601;MG;El�i Mendes;001;2037;00000000000000171115
944;19479902000180;3123908;MG;Entre Rios de Minas;001;2042;00000000000000165786
945;34651101000144;3124104;MG;Esmeraldas;001;2045;00000000000000249467
946;20283006000120;3124203;MG;Espera Feliz;001;2046;00000000000000227412
947;22406858000193;3124302;MG;Espinosa;001;0524;00000000000000280615
948;32691290000153;3124401;MG;Esp�rito Santo do Dourado;001;0368;00000000000000798460
949;12252931000166;3100000;MG;Estado de Minas Gerais;001;1615;00000000000000206296
950;31690037000112;3124609;MG;Estrela Dalva;001;0356;0000000000000037024X
951;19162184000114;3124708;MG;Estrela do Indai�;001;0266;00000000000000188220
952;21222491000195;3124807;MG;Estrela do Sul;001;0447;00000000000000136824
953;23524714000102;3125101;MG;Extrema;104;2715;00000000000000001971
954;35571877000117;3125200;MG;Fama;104;0095;00000000000001246046
955;43056943000149;3125705;MG;Felixl�ndia;001;0103;0000000000000072078X
956;18785496000111;3125903;MG;Ferros;001;2063;00000000000000161004
957;28860854000167;3125952;MG;Fervedouro;001;0026;0000000000000046242X
958;05647704000174;3126109;MG;Formiga;104;0115;00000000000000002881
959;05881769000180;3126307;MG;Fortaleza de Minas;001;0194;00000000000000491179
960;37635747000126;3126604;MG;Francisco Dumont;001;0393;0000000000000044412X
961;20712320000181;3126703;MG;Francisco S�;001;0438;00000000000000193496
962;37767130000164;3126802;MG;Frei Gaspar;001;0612;00000000000000083687
963;28122231000197;3126950;MG;Frei Lagonegro;104;0707;00000000000000710116
964;23478855000128;3127073;MG;Fruta de Leite;001;0976;00000000000000352063
965;10713227000138;3127107;MG;Frutal;001;0422;00000000000000229741
966;19304058000157;3127305;MG;Galil�ia;001;2073;00000000000000080136
967;22508863000107;3127354;MG;Glaucil�ndia;001;3209;00000000000000401846
968;31357113000172;3127370;MG;Goiabeira;001;0607;00000000000000263109
969;33819635000174;3127388;MG;Goian�;001;2544;00000000000000158771
970;25022846000153;3127404;MG;Gon�alves;001;4062;00000000000000089710
971;35815301000158;3127503;MG;Gonzaga;001;2780;00000000000000336793
972;19067761000199;3127701;MG;Governador Valadares;001;0166;00000000000001090623
973;16891549000153;3127800;MG;Gr�o Mogol;001;2088;00000000000000064750
974;19121476000109;3128006;MG;Guanh�es;001;0397;00000000000000348511
975;11633698000107;3128105;MG;Guap�;001;8210;00000000000000500224
976;12279016000164;3128204;MG;Guaraciaba;104;0146;00000000000000005804
977;42656309000184;3128253;MG;Guaraciama;001;0393;00000000000000442909
978;06210126000177;3128303;MG;Guaran�sia;001;2096;00000000000000176060
979;18048606000162;3128402;MG;Guarani;001;4582;00000000000000089427
980;21473356000112;3128501;MG;Guarar�;001;0174;00000000000000206342
981;05658170000181;3128709;MG;Guaxup�;104;0117;00000000000000001266
982;19090451000195;3128808;MG;Guidoval;001;3826;00000000000000104094
983;22566307000197;3128907;MG;Guimar�nia;001;1067;00000000000000152153
984;42024710000100;3129004;MG;Guiricema;001;3830;0000000000000013192X
985;27836370000110;3129301;MG;Iapu;001;2106;00000000000000164941
986;30709597000109;3129509;MG;Ibi�;104;0708;00000000000000710090
987;21405194000185;3129608;MG;Ibia�;104;0609;00000000000000003158
988;16621921000101;3129806;MG;Ibirit�;001;2115;00000000000000392316
989;25367602000102;3130101;MG;Igarap�;001;2122;00000000000000350001
990;26269889000109;3130309;MG;Iguatama;104;1696;00000000000000710528
991;27954867000132;3130556;MG;Imb� de Minas;001;0177;0000000000000063834X
992;42333406000136;3130655;MG;Indaiabira;001;2705;00000000000000295892
993;31698999000118;3130705;MG;Indian�polis;001;3733;00000000000000110620
994;20428084000176;3130903;MG;Inhapim;104;1491;00000000000000003738
995;24482896000150;3131109;MG;Inimutaba;001;0103;00000000000000719641
996;19097079000149;3131158;MG;Ipaba;001;4069;00000000000000141399
997;17833915000180;3131307;MG;Ipatinga;001;1009;00000000000000960454
998;21112030000160;3131604;MG;Ira� de Minas;001;1461;00000000000000118230
999;25371442000175;3131703;MG;Itabira;104;0119;00000000000000002891
1000;19169553000109;3131901;MG;Itabirito;001;0849;00000000000000432717
1001;43699904000160;3132008;MG;Itacambira;001;4025;00000000000000032093
1002;30511693000148;3132107;MG;Itacarambi;001;2149;00000000000000300020
1003;01142075000170;3132206;MG;Itaguara;001;2154;00000000000000090301
1004;20721097000139;3132404;MG;Itajub�;104;0121;00000000000000004801
1005;21397855000178;3132503;MG;Itamarandiba;001;2160;00000000000000306592
1006;29751158000185;3132800;MG;Itamb� do Mato dentro;001;0767;0000000000000072727X
1007;12375210000143;3132909;MG;Itamogi;001;8218;00000000000000003832
1008;35236781000100;3133006;MG;Itamonte;001;3162;00000000000000200662
1009;22289902000122;3133105;MG;Itanhandu;104;0122;00000000000000710191
1010;48054660000181;3133303;MG;Itaobim;001;2163;00000000000000295841
1011;26035022000180;3133402;MG;Itapagipe;104;4279;00000000000000710154
1012;29215721000109;3133501;MG;Itapecerica;001;2167;00000000000000163864
1013;12528380000110;3133709;MG;Itatiaiu�u;001;0425;00000000000000622958
1014;19374608000104;3133808;MG;Ita�na;104;0124;00000000000000001647
1015;25310599000190;3134103;MG;Itueta;001;0468;00000000000000244651
1016;26437311000106;3134202;MG;Ituiutaba;104;0125;00000000000000003343
1017;18785839000148;3134400;MG;Iturama;001;0853;00000000000000287571
1018;14516450000146;3134608;MG;Jaboticatubas;001;2190;0000000000000012124X
1019;31781752000160;3134707;MG;Jacinto;001;1083;00000000000000167169
1020;19206331000100;3134905;MG;Jacutinga;104;1064;00000000000000001440
1021;36573728000150;3135001;MG;Jaguara�u;001;2684;00000000000000589101
1022;22820184000179;3135050;MG;Ja�ba;001;4217;00000000000000227129
1023;17992455000133;3135100;MG;Jana�ba;001;0935;00000000000000384054
1024;19620214000199;3135209;MG;Janu�ria;001;0283;0000000000000042465X
1025;17167671000144;3135357;MG;Japonvar;001;0902;0000000000000026606X
1026;32157725000184;3135407;MG;Jeceaba;001;1793;00000000000000039666
1027;31962008000162;3135456;MG;Jenipapo de Minas;001;8222;00000000000000009962
1028;45392534000149;3135506;MG;Jequeri;001;2215;00000000000000155322
1029;30511856000192;3135605;MG;Jequita�;001;0125;00000000000000425613
1030;19177901000181;3135803;MG;Jequitinhonha;104;4536;00000000000000000269
1031;37176227000100;3136009;MG;Joa�ma;001;2217;00000000000000145432
1032;22551432000123;3136207;MG;Jo�o Monlevade;104;0607;00000000000000003270
1033;30897925000148;3136306;MG;Jo�o Pinheiro;001;0800;00000000000000372285
1034;20621387000100;3136504;MG;Jord�nia;001;0284;00000000000000276359
1035;42266332000162;3136579;MG;Josen�polis;001;0976;00000000000000417068
1036;20727024000154;3136652;MG;Juatuba;001;4583;00000000000000149349
1037;18690912000106;3136702;MG;Juiz de Fora;104;0126;00000000000600001494
1038;29630899000108;3136801;MG;Juramento;001;3209;00000000000000405108
1039;45003174000146;3136900;MG;Juruaia;001;3806;00000000000000136166
1040;21164910000180;3136959;MG;Juven�lia;001;8202;00000000000000019658
1041;22283269000165;3137106;MG;Lagamar;104;3697;00000000000000002575
1042;13619047000180;3137205;MG;Lagoa da Prata;104;1382;00000000000000010545
1043;31529488000172;3137304;MG;Lagoa dos Patos;001;0533;00000000000000294470
1044;18999454000183;3137502;MG;Lagoa Formosa;001;2237;00000000000000162515
1045;19226332000117;3137536;MG;Lagoa Grande;001;1333;0000000000000002497X
1046;18996407000186;3137601;MG;Lagoa Santa;001;2241;00000000000000383260
1047;23231501000184;3137809;MG;Lambari;001;2245;00000000000000190780
1048;42462375000113;3138104;MG;Lassance;001;2765;00000000000000303348
1049;19089759000110;3138203;MG;Lavras;001;0364;00000000000000762512
1050;21557173000185;3138401;MG;Leopoldina;104;0608;00000000000000005600
1051;20541566000138;3138500;MG;Liberdade;001;4067;00000000000000105376
1052;18787766000123;3138609;MG;Lima Duarte;001;2251;00000000000000166588
1053;06081427000148;3138625;MG;Limeira do Oeste;001;0853;00000000000000331694
1054;33077098000134;3138906;MG;Machacalis;104;3612;00000000000000711530
1055;21309749000195;3139003;MG;Machado;104;0691;00000000000000002949
1056;18777074000102;3139102;MG;Madre de Deus de Minas;001;0162;00000000000000863904
1057;21574171000102;3139201;MG;Malacacheta;001;5996;00000000000000028010
1058;34551615000128;3139300;MG;Manga;001;0945;00000000000000313114
1059;19264584000130;3139409;MG;Manhua�u;001;0316;00000000000000487597
1060;22883857000130;3139508;MG;Manhumirim;001;0412;00000000000000295132
1061;18105126000196;3139607;MG;Mantena;001;0434;00000000000000251844
1062;21590152000161;3139805;MG;Mar de Espanha;001;0174;00000000000000255947
1063;28877944000160;3139904;MG;Maria da F�;001;2276;00000000000000122815
1064;04261456000166;3140001;MG;Mariana;104;1701;00000000000000000852
1065;18503585000128;3140159;MG;M�rio Campos;001;7135;00000000000000054739
