;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
69;43326957000135;2708006;AL;Santana do Ipanema;001;0331;00000000000000283428
70;34978139000126;2708105;AL;Santana do Munda�;104;0713;00000000000000710763
71;19715102000111;2708204;AL;S�o Br�s;104;4638;00000000000000710260
72;18016229000180;2708303;AL;S�o Jos� da Laje;001;1137;00000000000000292192
73;33914795000100;2708402;AL;S�o Jos� da Tapera;001;2646;00000000000000204374
74;18526504000105;2708501;AL;S�o Lu�s do Quitunde;001;1139;00000000000000399558
75;15159265000104;2708600;AL;S�o Miguel dos Campos;104;0849;00000000000000002092
76;05018975000160;2708808;AL;S�o Sebasti�o;104;4638;00000000000000710104
77;43091835000107;2709004;AL;Tanque d'Arca;001;0136;00000000000000439584
78;19539317000129;2709152;AL;Teot�nio Vilela;001;3721;00000000000000296414
79;19180035000188;2709301;AL;Uni�o dos Palmares;104;0713;00000000000000005016
80;32011905000153;2709400;AL;Vi�osa;001;0110;0000000000000024287X
81;16839653000107;1300029;AM;Alvar�es;104;3236;00000000000000000311
82;18198660000194;1300300;AM;Autazes;001;3563;00000000000000111074
83;38560649000130;1300607;AM;Benjamin Constant;001;3563;00000000000000385603
84;44648633000186;1300680;AM;Boa Vista do Ramos;001;3563;00000000000000112976
85;25074447000136;1301209;AM;Coari;001;1776;00000000000000115290
86;26767466000100;1301407;AM;Eirunep�;001;1057;00000000000000179868
87;02576422000135;1300000;AM;Estado do Amazonas;001;3563;00000000000000073385
88;18099489000166;1301852;AM;Iranduba;001;4518;00000000000000138797
89;21593653000100;1302009;AM;Itapiranga;001;3563;00000000000000119059
90;28463225000101;1302207;AM;Juru�;001;0577;00000000000000451037
91;45813933000136;1302405;AM;L�brea;001;3317;00000000000000141003
92;01153631000103;1302603;AM;Manaus;001;3563;00000000000000060674
93;40124508000116;1302702;AM;Manicor�;001;0819;00000000000000232297
94;17997058000154;1303403;AM;Parintins;001;0333;00000000000000272876
95;19589691000139;1303536;AM;Presidente Figueiredo;104;4575;00000000000000000210
96;23500054000111;1303569;AM;Rio Preto da Eva;001;4653;00000000000000118796
97;20736976000134;1303700;AM;Santo Ant�nio do I��;104;3196;00000000000000001168
98;43356250000171;1303908;AM;S�o Paulo de Oliven�a;001;3563;00000000000000111007
99;16953864000168;1304203;AM;Tef�;001;0577;00000000000000378933
100;32159851000178;1600279;AP;Laranjal do Jari;001;4109;00000000000000239437
101;18412827000178;1600303;AP;Macap�;001;3575;00000000000000073059
102;30366127000190;1600535;AP;Porto Grande;001;3990;00000000000000234605
103;24761982000100;1600600;AP;Santana;001;3575;00000000000000083968
104;06044084000141;1600808;AP;Vit�ria do Jari;001;4109;00000000000001135546
105;27937659000125;2900108;BA;Aba�ra;001;1496;00000000000002116502
106;21551921000112;2900306;BA;Acajutiba;001;3828;00000000000000143790
107;38191278000166;2900355;BA;Adustina;001;4189;00000000000000411000
108;14784004000112;2900702;BA;Alagoinhas;001;0158;00000000000000559318
109;48175114000107;2900900;BA;Almadina;001;0601;00000000000000193836
110;22103811000150;2901007;BA;Amargosa;001;0240;00000000000000309451
111;35428881000120;2901106;BA;Am�lia Rodrigues;001;1017;0000000000000038318X
112;20615114000153;2901304;BA;Andara�;001;1100;00000000000000205001
113;22470997000186;2901353;BA;Andorinha;001;4152;00000000000000139890
114;41780429000126;2901502;BA;Anguera;001;0041;00000000000000717169
115;22891004000140;2901700;BA;Ant�nio Cardoso;001;1133;00000000000000437999
116;40097208000195;2902104;BA;Araci;001;1456;00000000000000334782
117;21270868000181;2902807;BA;Barra da Estiva;001;1496;0000000000000002563X
118;22728921000108;2902906;BA;Barra do Cho�a;001;4517;00000000000000156671
119;22915018000156;2903201;BA;Barreiras;001;0231;0000000000000060657X
120;29103966000136;2903276;BA;Barrocas;001;4170;00000000000000095532
121;28312971000196;2903805;BA;Boa Vista do Tupim;001;1647;00000000000000128821
122;31738706000189;2904050;BA;Bonito;001;2760;00000000000000019709
123;44396197000103;2904209;BA;Botupor�;001;1660;00000000000000204555
124;22851295000142;2904506;BA;Brotas de Maca�bas;001;8165;00000000000000008184
125;16595151000170;2904605;BA;Brumado;001;0730;00000000000000379786
